,GATA3,IL13,IFNg,IL4,IL10,PD1,Perforin,TNF,Ki67
27730_290715_aNil_026.fcs,639,1358,6926,1935,890,708,1968,1179,
29610_200815_BCG_031.fcs,546,1413,8755,1853,728,730,1784,3004,
"29610_200815_E,2f,C_032.fcs",535,1099,13575,2210,791,687,1609,2691,
29610_200815_SEB_033.fcs,540,796,7529,2198,562,748,1677,1667,
29610_200815_aNil_030.fcs,539,905,3189,2193,772,673,1495,1132,
11420_18-2-15_BCG_028.fcs,486,2433,1285,3273,1110,674,1168,1957,
"11420_18-2-15_E,2f,C_029.fcs",473,648,943,3157,423,677,1101,1582,
11420_18-2-15_SEB_030.fcs,534,958,2410,3839,567,692,1467,2815,
11420_18-2-15_aNil_027.fcs,480,556,788,3708,473,679,1136,1538,
111010_10-9-15_BCG_019.fcs,519,n/a,3462,3619,467,641,1867,2266,
"111010_10-9-15_E,2f,C_020.fcs",491,839,4913,4272,513,620,2099,4721,
111010_10-9-15_SEB_021.fcs,562,n/a,5246,2854,458,650,1615,2099,
111010_10-9-15_aNil_018.fcs,514,906,1030,4462,417,637,2048,1099,
219731_10-3-16_BCG_032.fcs,442,3345,1091,2337,n/a,613,2697,3934,
"219731_10-3-16_E,2f,C_031.fcs",401,3597,2433,2634,325,618,2728,3693,
219731_10-3-16_SEB_034.fcs,464,718,4361,2452,348,647,2588,2346,
219731_10-3-16_aNil_033.fcs,437,2854,1110,2461,250,631,2629,1832,
219731_10-3-16_yHIV_035.fcs,424,3234,1835,2558,254,612,2734,1884,
2044X 21-09-15_BCG_019.fcs,626,1849,7269,3095,1074,655,2843,5533,1699
"2044X 21-09-15_E,2f,C_020.fcs",528,2185,2660,3831,414,639,2665,3070,1498
2044X 21-09-15_Nil_018.fcs,577,1867,839,3649,772,717,2871,3208,1748
2044X 21-09-15_SEB_021.fcs,593,1010,5774,3886,358,707,2554,4091,1822
24230 15-10-15_BCG_028.fcs,545,2728,758,2755,305,793,2629,3101,1484
"24230 15-10-15_E,2f,C_029.fcs",489,2702,857,2660,358,786,3701,1715,1484
24230 15-10-15_Nil_027.fcs,545,2119,614,2771,875,641,2115,2476,1910
24230 15-10-15_SEB_030.fcs,538,796,3319,2593,384,750,2782,3299,1661
