,GATA3,IL13,IFNg,IL4,IL10,PD1,Perforin,TNF,Ki67
10411_HIV_025.fcs,,,1344,2072,8355,740,5509,2275,1781
10411_Nil_022.fcs,,,1288,1788,5235,781,5938,3561,1748
10510_BCG_020.fcs,,,8706,1764,4185,853,2665,13796,1661
"10510_E,2f,C_019.fcs",,,1583,1680,3777,720,1902,3089,1906
10510_Nil_018.fcs,,,1187,1492,4380,819,2156,2115,1576
10510_SEB_021.fcs,,,6614,1342,5370,800,1473,11719,1397
"11611_E,2f,C_027.fcs",,,6474,1119,3366,637,1230,7381,1204
11611_HIV_028.fcs,,,1384,1397,8543,672,1280,3016,1232
11611_Nil_026.fcs,,,855,1223,n/a,658,1065,2723,1246
11611_SEB_029.fcs,,,10019,1718,4361,682,918,16458,1478
21430_BCG_024.fcs,,,10202,1386,4444,633,2037,6133,1263
"21430_E,2f,C_023.fcs",,,1285,1051,10110,643,1199,2433,1529
21430_Nil_022.fcs,,,1317,1297,14961,619,1206,2660,1186
21430_SEB_025.fcs,,,7414,1345,2686,885,1456,5938,1661
22020_BCG_029.fcs,,,1022,1464,5737,1026,1283,3170,1585
"22020_E,2f,C_028.fcs",,,1172,1394,8027,846,1206,4193,1567
22020_Nil_027.fcs,,,1101,1402,7003,857,1263,5462,1518
22020_SEB_030.fcs,,,3619,1249,6616,862,1040,5268,1487
10611_BCG_030.fcs,,,19027,1953,4302,789,1294,7333,4049
"10611_E,2f,C_028.fcs",,,17048,2210,10094,775,1399,2619,4594
10611_HIV_029.fcs,,,3797,2419,1578,779,1068,2206,5370
10611_Nil_027.fcs,,,11199,1961,3476,781,1407,7546,4547
10611_SEB_031.fcs,,,7268,2013,1175,830,1306,6559,4016
20640_BCG_034.fcs,,,5650,1585,4116,737,3561,2888,2992
"20640_E,2f,C_033.fcs",,,4290,1573,7707,758,3999,2253,3319
20640_Nil_032.fcs,,,4496,1600,9955,742,3963,2519,3107
20640_SEB_035.fcs,,,6564,1086,9163,727,1692,2771,3325
21711_BCG_025.fcs,,,6107,1384,3125,747,1407,2476,2712
"21711_E,2f,C_023.fcs",,,4583,1475,4576,755,2483,1661,2788
21711_HIV_024.fcs,,,9279,1451,1542,762,1021,2837,3004
21711_Nil_022.fcs,,,6085,1418,8459,743,1358,5180,2697
21711_SEB_026.fcs,,,8764,1437,3405,769,1518,2987,2755
10111_BCG_033.fcs,,,15135,1825,978,774,2021,18243,3504
10111_HIV_034.fcs,,,9095,1606,25702,826,5279,4211,3942
10111_Nil_032.fcs,,,24508,1788,3182,803,5007,1312,3999
10111_SEB_035.fcs,,,8581,1748,4219,789,1302,5989,2849
20520_BCG_025.fcs,,,22079,2068,15819,828,2500,1624,3420
20520_BCG_024.fcs,,,21010,2006,16887,849,2346,1771,3305
"20520_E,2f,C_026.fcs",,,22502,1489,14151,857,1870,1239,3539
20520_Nil_023.fcs,,,23261,1968,15782,851,2240,1283,4066
20520_SEB_027.fcs,,,6531,1791,1573,816,2025,3089,3286
20630_BCG _020.fcs,,,20520,1791,9974,812,1767,2457,2882
"20630_E,2f,C_021.fcs",,,21411,1899,23819,791,1968,1693,3058
20630_Nil_018.fcs,,,22824,1846,14054,794,2107,1266,3151
20630_SEB_022.fcs,,,6390,890,5347,817,1138,3058,2728
13511_BCG_029.fcs,,,6703,1136,5912,750,1811,1777,2739
"13511_E,2f,C_028.fcs",,,7095,984,8081,873,1310,1972,2992
13511_HIV_030.fcs,,,5347,1051,4575,1141,1512,1863,2691
13511_Nil_027.fcs,,,6631,1049,8318,732,1424,1722,3028
13511_SEB_031.fcs,,,6911,873,5701,1325,1235,1946,2288
13911_BCG_024.fcs,,,6733,1195,8117,772,1849,2524,3034
"13911_E,2f,C_023.fcs",,,6308,964,10626,1051,1434,1892,2877
13911_HIV_025.fcs,,,6896,1119,1529,962,1585,1788,2877
13911_Nil_022.fcs,,,6573,1179,27150,774,1791,1639,3101
23930_11-6-15_BCG_019.fcs,365,1731,2173,3967,920,952,1972,4202,1917
"23930_11-6-15_E,2f,C_020.fcs",363,1307,946,2524,262,866,1487,13114,6160
23930_11-6-15_SEB_021.fcs,470,2676,1437,1798,250,713,n/a,4202,3292
23930_11-6-15_aNil_018.fcs,383,1541,464,5071,302,1006,869,5533,3476
24320_20-7-15_BCG_032.fcs,506,1532,1394,3266,229,697,3634,2837,1931
"24320_20-7-15_E,2f,C_033.fcs",440,3089,1791,3656,772,694,4032,4142,2419
24320_20-7-15_SEB_034.fcs,461,782,3413,2624,250,752,3372,2563,2240
24320_20-7-15_aNil_031.fcs,451,2140,986,3855,474,653,4325,3754,1987
29640_21-10-15_BCG_027.fcs,464,864,1751,3221,373,661,1523,2911,1661
"29640_21-10-15_E,2f,C_028.fcs",447,864,1246,2981,370,658,1591,2650,1860
29640_21-10-15_SEB_029.fcs,491,796,4167,2563,302,669,1330,2168,2185
29640_21-10-15_aNil_026.fcs,451,1141,862,3366,309,668,1547,1815,1987
211120_12-10-15_BCG_023.fcs,380,814,2558,4159,421,674,1426,3886,1633
"211120_12-10-15_E,2f,C_024.fcs",385,2593,3626,3312,718,663,1225,4041,1774
211120_12-10-15_SEB_025.fcs,412,2691,4108,3847,314,702,1168,2087,1961
211120_12-10-15_aNil_022.fcs,371,2917,956,4334,471,685,1360,4997,1642
15411 2-7-15_BCG_019.fcs,461,2928,6836,2975,945,649,1285,7579,2382
"15411 2-7-15_E,2f,C_020.fcs",439,2279,6080,2624,1161,685,1106,4614,2471
15411 2-7-15_HIV_022.fcs,460,2480,1475,2788,529,639,1138,3462,2257
15411 2-7-15_Nil_018.fcs,450,2310,2346,2882,559,644,1199,3441,2323
15411 2-7-15_SEB_021.fcs,489,2013,3678,2917,359,671,1345,3918,2270
17010 6-30-15_BCG_037.fcs,427,3028,4872,2382,360,840,3386,7365,2087
"17010 6-30-15_E,2f,C_038.fcs",401,1728,6002,2821,503,880,3107,5451,2193
17010 6-30-15_Nil_036.fcs,418,1902,2899,2593,279,807,3420,2346,2029
17010 6-30-15_SEB_039.fcs,457,903,3816,2400,293,835,3902,3469,2144
111110 10-12-15_BCG_033.fcs,541,2270,6213,2173,321,652,1179,4125,2076
"111110 10-12-15_E,2f,C_034.fcs",496,1280,10970,2056,475,710,1261,3855,2029
111110 10-12-15_Nil_032.fcs,545,1835,2037,1968,373,653,1237,2262,2119
111110 10-12-15_SEB_035.fcs,515,864,5592,1972,314,695,1273,2490,1920
111220 2-11-15_BCG_028.fcs,515,1784,3352,2660,470,628,1202,4398,1877
"111220 2-11-15_E,2f,C_029.fcs",488,1529,5060,2614,416,638,1110,5837,2080
111220 2-11-15_Nil_027.fcs,483,3583,2670,2461,261,660,1080,2583,2056
112730 1-26-16_BCG_024.fcs,517,1939,6002,3201,373,666,1603,4246,1998
"112730 1-26-16_E,2f,C_025.fcs",484,1761,1541,3208,676,728,1738,2529,2156
112730 1-26-16_Nil_023.fcs,521,2619,1794,2992,984,700,1585,2111,1961
112730 1-26-16_SEB_026.fcs,497,886,2734,3208,287,703,1579,2992,1917
20330 28-02-15_BCG_032.fcs,492,2563,3999,4133,683,652,2799,4924,1470
"20330 28-02-15_E,2f,C_033.fcs",484,2056,4872,5147,1026,653,2981,6107,1561
20330 28-02-15_Nil_031.fcs,574,2164,2691,4263,852,703,2219,3279,1515
20330 28-02-15_SEB_034.fcs,580,831,2655,4711,309,705,2676,3511,1487
20620 01-12-14_BCG_028.fcs,521,4490,2013,1832,455,725,2350,4472,1459
"20620 01-12-14_E,2f,C_029.fcs",531,1330,1541,3823,1063,793,2270,3400,1437
20620 01-12-14_Nil_027.fcs,516,4481,1484,2539,469,770,2433,4472,1366
20620 01-12-14_SEB_030.fcs,539,2346,3448,2461,401,767,2206,3170,1381
27410 08-07-15_BCG_024.fcs,672,2040,5474,3999,974,653,3504,2969,1712
"27410 08-07-15_E,2f,C_025.fcs",562,2072,4444,4518,289,666,3723,4380,1591
27410 08-07-15_Nil_023.fcs,669,2614,1283,3490,280,677,3234,6226,1709
27410 08-07-15_SEB_026.fcs,648,757,4913,2665,300,707,2655,3693,1825
211130 22-10-15_BCG_019.fcs,456,2849,3597,3400,n/a,665,1512,7529,1475
"211130 22-10-15_E,2f,C_020.fcs",462,1612,9729,3967,850,676,1811,8010,1371
211130 22-10-15_Nil_018.fcs,484,1547,2052,3597,946,669,1658,3352,1478
23940 AscSero+ 2month 11-Jan-15_BCG_019.fcs,445,3469,2563,2341,2697,857,1722,3739,1440
"23940 AscSero+ 2month 11-Jan-15_E,2f,C_020.fcs",388,782,1432,2253,1722,948,3583,7800,1523
23940 AscSero+ 2month 11-Jan-15_Nil_018.fcs,401,1057,1445,2634,271,805,1677,4263,1594
